name, foxtrot 32;
1, 36 69;
2, 0;
3, 0;
4, 0;
5, 38 42;
6, 0;
7, 0;
8, 0;
9, 36 69;
10, 0;
11, 0;
12, 0;
13, 38 42;
14, 0;
15, 0;
16, 0;
17, 36 69;
18, 0;
19, 0;
20, 0;
21, 38 42;
22, 0;
23, 0;
24, 0;
25, 36 69;
26, 0;
27, 0;
28, 0;
29, 38 42;
30, 0;
31, 0;
32, 0;
name, rocknroll 32;
33, 36 42;
34, 0;
35, 42;
36, 0;
37, 38 42;
38, 0;
39, 36 38 42;
40, 0;
41, 36 42;
42, 0;
43, 42;
44, 0;
45, 38 42;
46, 0;
47, 42;
48, 0;
49, 36 42;
50, 0;
51, 42;
52, 0;
53, 38 42;
54, 0;
55, 36 38 42;
56, 0;
57, 36 42;
58, 0;
59, 42;
60, 0;
61, 38 42;
62, 0;
63, 42;
64, 0;
name, rhumba 32;
65, 36 75 69;
66, 0;
67, 36 69;
68, 69;
69, 69 63;
70, 0;
71, 36 75 69;
72, 0;
73, 36 69;
74, 0;
75, 69 63;
76, 0;
77, 64 75 69;
78, 0;
79, 64 69 63;
80, 0;
81, 36 69;
82, 0;
83, 36 69;
84, 69;
85, 36 75 69;
86, 0;
87, 36 69;
88, 0;
89, 36 75 69;
90, 0;
91, 69 63;
92, 0;
93, 64 69;
94, 0;
95, 64 69 63;
96, 0;
name, beguine 32;
97, 64 75 69;
98, 0;
99, 69 63 42;
100, 0;
101, 69;
102, 0;
103, 75 69 63;
104, 0;
105, 64 69;
106, 0;
107, 69 63;
108, 0;
109, 64 75 69;
110, 0;
111, 69 63;
112, 0;
113, 64 69 63;
114, 0;
115, 69 63 42;
116, 0;
117, 75 69;
118, 0;
119, 69 63;
120, 0;
121, 64 75 69;
122, 0;
123, 69 63;
124, 0;
125, 64 69;
126, 0;
127, 69 63;
128, 0;
name, habanera 32;
129, 36 38;
130, 0;
131, 0;
132, 0;
133, 0;
134, 0;
135, 38;
136, 0;
137, 36 38;
138, 0;
139, 0;
140, 0;
141, 38;
142, 0;
143, 0;
144, 0;
145, 36 38;
146, 0;
147, 0;
148, 0;
149, 0;
150, 0;
151, 38;
152, 0;
153, 36 38;
154, 0;
155, 0;
156, 0;
157, 38;
158, 0;
159, 0;
160, 0;
