name, technogrindinganalogue_AM 32;
1, 36 37 46 70;
2, 37;
3, 42 45;
4, 0;
5, 36 37 39 46 70;
6, 37;
7, 42;
8, 0;
9, 36 37 46 70;
10, 37;
11, 42;
12, 0;
13, 36 37 46 70;
14, 37;
15, 42;
16, 0;
17, 36 37 46 70;
18, 37;
19, 42 45;
20, 36;
21, 36 37 39 46 70;
22, 37;
23, 42;
24, 0;
25, 36 37 46 70;
26, 37;
27, 42;
28, 0;
29, 36 37 46 70;
30, 37;
31, 42;
32, 36;
name, technoindustrial_AM 32;
33, 36 37 45;
34, 0;
35, 45 46;
36, 0;
37, 36 37 38;
38, 45;
39, 42 46;
40, 37 45;
41, 36 37 45;
42, 0;
43, 45 46;
44, 0;
45, 36 37 38;
46, 45;
47, 42 46;
48, 37 45;
49, 36 37 45;
50, 0;
51, 45 46;
52, 0;
53, 36 37 38;
54, 45;
55, 42 46;
56, 37 45;
57, 36 37 45;
58, 0;
59, 45 46;
60, 0;
61, 36 37 38;
62, 45;
63, 42 46;
64, 37 45;
name, technohardcore_CCM 32;
65, 36 38 44 45;
66, 0;
67, 44 45;
68, 38 45;
69, 36 39 44;
70, 0;
71, 38 44 45;
72, 0;
73, 36 38 44 45;
74, 0;
75, 44 45;
76, 38 45;
77, 36 39 44;
78, 0;
79, 38 44 45;
80, 0;
81, 36 38 44 45;
82, 0;
83, 44 45;
84, 38 45;
85, 36 39 44;
86, 0;
87, 38 44 45;
88, 0;
89, 36 38 44 45;
90, 0;
91, 44 45;
92, 38 45;
93, 36 39 44;
94, 0;
95, 38 44 45;
96, 0;
name, deephouse_CCM 32;
97, 36;
98, 0;
99, 46;
100, 38;
101, 36 42;
102, 0;
103, 42 46 64;
104, 42;
105, 36;
106, 0;
107, 46;
108, 38;
109, 36 42;
110, 0;
111, 42 46 64;
112, 42;
113, 36;
114, 0;
115, 46;
116, 38;
117, 36 42;
118, 0;
119, 42 46 64;
120, 42;
121, 36;
122, 0;
123, 46;
124, 38;
125, 36 42;
126, 0;
127, 42 46 64;
128, 38 42;
name, dirtyhouse_SA 16;
129, 36;
130, 0;
131, 46 39 45;
132, 0;
133, 36 38 39;
134, 0;
135, 0;
136, 0;
137, 36 39;
138, 0;
139, 42 46 39 45;
140, 0;
141, 36 38 39;
142, 0;
143, 46;
144, 42;
name, deeptechhouse_AM 32;
145, 36 69;
146, 69;
147, 46 69;
148, 42 69;
149, 36 38 39 69;
150, 42 69;
151, 36 46 69;
152, 38 69;
153, 36 69;
154, 69;
155, 46 69;
156, 42 69;
157, 36 38 39 69;
158, 42 69;
159, 46 69;
160, 69;
161, 36 69;
162, 69;
163, 46 69;
164, 42 69;
165, 36 38 39 69;
166, 42 69;
167, 36 46 69;
168, 38 69;
169, 36 69;
170, 69;
171, 38 46 69;
172, 42 69;
173, 36 38 39 69;
174, 42 69;
175, 46 69;
176, 69;
name, breaksyntheticsubs_EH 32;
177, 36 42;
178, 0;
179, 36 42;
180, 0;
181, 40 42;
182, 0;
183, 42;
184, 36;
185, 42;
186, 36;
187, 36 42;
188, 36;
189, 40 42;
190, 0;
191, 42;
192, 36;
193, 36 42;
194, 0;
195, 36 46;
196, 0;
197, 40 42;
198, 0;
199, 42;
200, 36;
201, 42;
202, 36;
203, 36 42;
204, 36;
205, 40 42;
206, 0;
207, 42;
208, 36;
name, breakfunkbreak_SA 32;
209, 36 42;
210, 42;
211, 42;
212, 36 42;
213, 40 42;
214, 42;
215, 36 46;
216, 0;
217, 36 42;
218, 40 42;
219, 46;
220, 0;
221, 36 40 42;
222, 42;
223, 42;
224, 42;
225, 36 42;
226, 42;
227, 42;
228, 36 42;
229, 40 42;
230, 42;
231, 36 46;
232, 0;
233, 36 42;
234, 40 42;
235, 46;
236, 0;
237, 36 40 42;
238, 42;
239, 42;
240, 42;
name, breakfunkydrummer_EH 32;
241, 36 42;
242, 42;
243, 36 42;
244, 42;
245, 40 42;
246, 42;
247, 36 42;
248, 40 46;
249, 42;
250, 40 42;
251, 36 42;
252, 40 42;
253, 40 42;
254, 36 46;
255, 42;
256, 40 42;
257, 36 42;
258, 42;
259, 36 42;
260, 42;
261, 40 42;
262, 42;
263, 36 42;
264, 40 46;
265, 42;
266, 40 42;
267, 36 42;
268, 40 42;
269, 40 42;
270, 36 46;
271, 42;
272, 40 42;
