name, 0 16;
1, 42 36;
2, 42;
3, 42;
4, 42;
5, 42 38;
6, 42;
7, 42;
8, 42;
9, 42;
10, 42;
11, 42 36;
12, 42;
13, 42 38;
14, 42;
15, 42;
16, 42;
name, 211 16;
17, 42 36;
18, 0;
19, 42;
20, 0;
21, 42 38;
22, 0;
23, 42;
24, 42;
25, 42;
26, 42;
27, 42 36;
28, 0;
29, 42 38;
30, 0;
31, 42;
32, 42;
name, 212 16;
33, 42 36;
34, 42;
35, 42 36;
36, 42;
37, 42 38;
38, 42;
39, 42;
40, 42;
41, 42 36;
42, 42;
43, 42 36;
44, 42;
45, 42 38;
46, 42;
47, 46 42 36;
48, 42;
name, 213 16;
49, 42 36;
50, 42;
51, 42;
52, 42;
53, 42 38 36;
54, 46 42;
55, 42;
56, 42;
57, 46 42 36;
58, 46 42;
59, 42 36;
60, 42;
61, 42 38 36;
62, 42;
63, 46 42;
64, 42;
name, 221 16;
65, 42 36;
66, 42;
67, 42;
68, 42;
69, 42 38;
70, 42;
71, 42;
72, 42;
73, 42;
74, 42;
75, 42 36;
76, 42;
77, 42 38;
78, 42;
79, 42;
80, 42;
name, 222 16;
81, 42 36;
82, 42;
83, 42;
84, 42 36;
85, 42 38;
86, 42;
87, 42;
88, 42 38;
89, 42;
90, 42;
91, 42 36;
92, 42;
93, 42 38;
94, 42 36;
95, 42;
96, 42;
name, 223 16;
97, 42 36;
98, 42;
99, 42;
100, 42 36;
101, 42 38;
102, 42;
103, 42;
104, 42 38;
105, 42 36;
106, 42;
107, 42 36;
108, 42 36;
109, 42 38;
110, 42;
111, 42;
112, 42;
name, 231 16;
113, 42 36;
114, 42;
115, 0;
116, 46 42;
117, 42 38;
118, 42 36;
119, 42;
120, 46 42;
121, 42 36;
122, 36;
123, 42 36;
124, 42;
125, 42;
126, 42;
127, 42;
128, 42;
name, 232 16;
129, 46 42 36;
130, 46 42;
131, 0;
132, 42;
133, 42 38;
134, 42 36;
135, 42;
136, 42;
137, 42;
138, 36;
139, 42 36;
140, 42;
141, 42 38;
142, 42;
143, 42;
144, 42;
name, 233 16;
145, 42 36;
146, 46 42;
147, 0;
148, 42;
149, 42 38;
150, 42;
151, 42;
152, 42;
153, 46 42;
154, 36;
155, 42 36;
156, 42;
157, 42 38;
158, 42;
159, 42;
160, 42;
name, 241 16;
161, 42 36;
162, 0;
163, 42;
164, 0;
165, 42 38;
166, 0;
167, 42;
168, 42;
169, 46;
170, 0;
171, 42 36;
172, 0;
173, 42 38;
174, 0;
175, 42;
176, 0;
name, 242 16;
177, 42 36;
178, 42;
179, 42;
180, 42;
181, 42 38;
182, 42;
183, 42;
184, 46;
185, 42;
186, 46;
187, 42 36;
188, 42;
189, 42 38;
190, 42;
191, 46;
192, 0;
name, 243 16;
193, 42 36;
194, 42 36;
195, 42;
196, 42 36;
197, 42 36;
198, 42;
199, 42 36;
200, 42;
201, 42 38;
202, 42;
203, 42;
204, 46;
205, 42;
206, 42;
207, 46 38;
208, 42;
