name, house_SA 16;
1, 36 42;
2, 42;
3, 42 46 45;
4, 42;
5, 36 38 42;
6, 42 46;
7, 42;
8, 42;
9, 36 42;
10, 42;
11, 42 46 45;
12, 42;
13, 36 38 42;
14, 42 46;
15, 42;
16, 42;
name, dirtyhouse_SA 16;
17, 36;
18, 0;
19, 46 39 45;
20, 0;
21, 36 38 39;
22, 0;
23, 0;
24, 0;
25, 36 39;
26, 0;
27, 42 46 39 45;
28, 0;
29, 36 38 39;
30, 0;
31, 46;
32, 42;
name, chicagohouse_SA 16;
33, 36 46;
34, 38 46;
35, 46 45;
36, 46;
37, 36 38 46 39;
38, 46;
39, 46;
40, 38 46;
41, 36 46;
42, 46;
43, 38 42 46 45;
44, 46;
45, 36 38 46 39;
46, 38 46;
47, 36 46;
48, 42 46 39;
name, deephouse_SA 16;
49, 36;
50, 75;
51, 45;
52, 69;
53, 36;
54, 0;
55, 0;
56, 45;
57, 36;
58, 75;
59, 45;
60, 69;
61, 36;
62, 0;
63, 0;
64, 0;
name, slowdeephouse_SA 16;
65, 42 69;
66, 69;
67, 46 69;
68, 46 69;
69, 42 39 69;
70, 69;
71, 46 69;
72, 46 69;
73, 42 69;
74, 46 69;
75, 46 69;
76, 69;
77, 42 39 69;
78, 69;
79, 46 69;
80, 69;
name, brithouse_SA 16;
81, 36 42;
82, 42;
83, 46 51;
84, 42;
85, 36 42 39;
86, 42;
87, 46 51;
88, 42;
89, 36 42;
90, 42;
91, 46 51;
92, 42;
93, 36 42 39;
94, 42;
95, 46 51;
96, 42;
name, frenchhouse_SA 16;
97, 36 42 69;
98, 42 46 69;
99, 42 69;
100, 42 46;
101, 36 38 42 39 69;
102, 42 46;
103, 42 69;
104, 42 46 69;
105, 36 42 69;
106, 42 46 69;
107, 42 69;
108, 42 46;
109, 36 38 42 39 69;
110, 42 46;
111, 42 69;
112, 42 46 69;
name, simplejackinhouse_SA 16;
113, 36 69;
114, 46 69;
115, 42;
116, 69;
117, 36 39;
118, 0;
119, 36 42 69;
120, 0;
121, 36 69;
122, 46 69;
123, 42;
124, 46 69;
125, 36 39;
126, 0;
127, 42;
128, 0;
name, polishedhouse_AM 16;
129, 36 42;
130, 42;
131, 46 69;
132, 42;
133, 36 42 39;
134, 42 69;
135, 36 46 69;
136, 42 69;
137, 36 42;
138, 42;
139, 46 69;
140, 42;
141, 36 42 39;
142, 42 69;
143, 46 69;
144, 42 69;
name, deeptechhouse_AM 32;
145, 36 69;
146, 69;
147, 46 69;
148, 42 69;
149, 36 38 39 69;
150, 42 69;
151, 36 46 69;
152, 38 69;
153, 36 69;
154, 69;
155, 46 69;
156, 42 69;
157, 36 38 39 69;
158, 42 69;
159, 46 69;
160, 69;
161, 36 69;
162, 69;
163, 46 69;
164, 42 69;
165, 36 38 39 69;
166, 42 69;
167, 36 46 69;
168, 38 69;
169, 36 69;
170, 69;
171, 38 46 69;
172, 42 69;
173, 36 38 39 69;
174, 42 69;
175, 46 69;
176, 69;
name, bigroomhouse_AM 16;
177, 36;
178, 46;
179, 42 46;
180, 0;
181, 36 39;
182, 0;
183, 42 46;
184, 38 42;
185, 36;
186, 38 42;
187, 42 46;
188, 0;
189, 36 39;
190, 0;
191, 42 46;
192, 0;
name, slowhouse_AM 32;
193, 36 54;
194, 54;
195, 46 54;
196, 37;
197, 36 39 54;
198, 0;
199, 46 54;
200, 54;
201, 36 54;
202, 37 54;
203, 46 54;
204, 0;
205, 36 39 75 54;
206, 0;
207, 46 54;
208, 36 54;
209, 36 54;
210, 54;
211, 46 54;
212, 37;
213, 36 39 54;
214, 0;
215, 46 54;
216, 54;
217, 36 54;
218, 37 54;
219, 46 54;
220, 0;
221, 36 39 75 54;
222, 0;
223, 36 46 54;
224, 54;
name, bighouse_AM 16;
225, 36 45;
226, 42;
227, 42 46;
228, 45;
229, 36 39;
230, 0;
231, 42 46 45;
232, 0;
233, 36 45;
234, 45;
235, 42 46;
236, 42;
237, 36 39;
238, 0;
239, 42 46 45;
240, 38 42;
name, organichouse_AM 32;
241, 36 69;
242, 46 69;
243, 46 69;
244, 69;
245, 36 39 69;
246, 69;
247, 46 69;
248, 69;
249, 36 69;
250, 46 69;
251, 46 69;
252, 69;
253, 36 39 69;
254, 69;
255, 46 69;
256, 69;
257, 36 69;
258, 46 69;
259, 46 69;
260, 69;
261, 36 39 69;
262, 69;
263, 46 69;
264, 69;
265, 36 69;
266, 46 39 69;
267, 46 69;
268, 69;
269, 36 39 69;
270, 69;
271, 46 69;
272, 69;
name, minimalhouse_AM 16;
273, 36;
274, 0;
275, 46;
276, 0;
277, 36 38 39;
278, 37;
279, 46;
280, 0;
281, 36;
282, 0;
283, 46;
284, 0;
285, 36 38 39;
286, 0;
287, 46 37;
288, 37;
name, house_DMPS 32;
289, 36 42;
290, 42;
291, 46;
292, 0;
293, 36 38 42;
294, 42;
295, 46;
296, 0;
297, 36 42;
298, 42;
299, 46;
300, 0;
301, 36 38 42;
302, 42;
303, 46;
304, 0;
305, 36 42;
306, 42;
307, 46;
308, 0;
309, 36 38 42 39;
310, 42 39;
311, 46;
312, 39;
313, 36 42;
314, 42;
315, 46 39;
316, 39;
317, 36 38 42;
318, 42;
319, 46;
320, 0;
name, house_CCM 32;
321, 36 42;
322, 0;
323, 46;
324, 0;
325, 36 42 39;
326, 0;
327, 46;
328, 42;
329, 36 42;
330, 0;
331, 46;
332, 0;
333, 36 42 39;
334, 42;
335, 46;
336, 42;
337, 36 42;
338, 0;
339, 46;
340, 0;
341, 36 42 39;
342, 0;
343, 46;
344, 42;
345, 36 42;
346, 0;
347, 46;
348, 39;
349, 36 42;
350, 42;
351, 46 39;
352, 42;
name, classichouse_CCM 16;
353, 36 42;
354, 42;
355, 42 46;
356, 0;
357, 36 39;
358, 42;
359, 42 46;
360, 42 45;
361, 36 42;
362, 42;
363, 42 46 45;
364, 0;
365, 36 39;
366, 42;
367, 42 46 45;
368, 42;
name, deephouse_CCM 32;
369, 36;
370, 0;
371, 46;
372, 38;
373, 36 42;
374, 0;
375, 42 46 64;
376, 42;
377, 36;
378, 0;
379, 46;
380, 38;
381, 36 42;
382, 0;
383, 42 46 64;
384, 42;
385, 36;
386, 0;
387, 46;
388, 38;
389, 36 42;
390, 0;
391, 42 46 64;
392, 42;
393, 36;
394, 0;
395, 46;
396, 38;
397, 36 42;
398, 0;
399, 42 46 64;
400, 38 42;
name, housewithchords_CCM 16;
401, 36 42;
402, 0;
403, 46;
404, 0;
405, 36 42 39;
406, 0;
407, 46 61;
408, 0;
409, 36 42;
410, 42;
411, 46;
412, 0;
413, 36 42 39 75;
414, 42;
415, 46 75 61;
416, 42;
name, house_DMM 16;
417, 36 42;
418, 42;
419, 46;
420, 42;
421, 36 38 42 39;
422, 42;
423, 46;
424, 42;
425, 36 42;
426, 42;
427, 46;
428, 42;
429, 36 38 42 39;
430, 42;
431, 46;
432, 42;
